,A_YEAR,B_COUNTRY,B_COUNTRY_ALPHA,S_INTLANGUAGE,LNGE_ISO,Q260,Q262,X003R2,Q272,Q273,Q274,Q275,Q275R,Q281,Q284,Q287,Q288R,Q289,Q290
0,2018,422,LBN,170,ar,1,27,1,170,6,0,2,1,4,2,3,2,5,-4
1,2017,32,ARG,1270,es,1,70,3,1270,5,-5,2,1,6,2,3,2,1,32001
2,2022,203,CZE,1040,cs,2,47,2,1040,6,2,2,1,6,2,4,2,0,203003
3,2021,862,VEN,1270,es,2,33,2,1270,2,3,3,2,8,2,2,2,1,862001
4,2021,51,ARM,200,hy,2,63,3,200,1,3,3,2,1,-3,4,2,3,51001
5,2019,158,TWN,2870,zh,1,30,2,2870,6,0,7,3,-3,2,4,2,9,158002
6,2018,458,MYS,2810,ms,1,44,2,2810,1,4,2,1,5,2,1,2,5,458004
7,2017,840,USA,1240,en,2,52,3,1240,3,1,3,2,-3,2,4,2,0,840001
8,2022,203,CZE,1040,cs,2,73,3,1040,5,2,2,1,4,1,4,2,0,203003
9,2020,320,GTM,1270,es,1,54,3,1270,1,3,6,3,1,2,3,2,1,320003
10,2021,862,VEN,1270,es,1,20,1,1270,2,2,1,1,0,-3,3,2,2,862003
11,2020,320,GTM,1270,es,1,18,1,1270,6,0,3,2,-2,-2,3,2,1,320003
12,2017,32,ARG,1270,es,2,37,2,1270,3,1,3,2,8,2,3,2,1,32001
13,2020,762,TJK,4160,tg,2,38,2,4160,1,4,3,2,9,-2,5,3,5,762001
14,2020,558,NIC,1270,es,1,31,2,1270,2,4,2,1,4,1,3,2,0,558001
15,2018,764,THA,4230,th,2,22,1,1260,6,0,2,1,4,-2,3,1,7,764001
16,2018,484,MEX,1270,es,1,40,2,1270,1,1,3,2,5,2,4,2,1,484003
17,2018,642,ROU,3580,ro,1,59,3,3580,1,2,7,3,1,1,2,2,3,642005
18,2018,276,DEU,1530,de,2,62,3,1530,1,3,7,3,1,2,2,2,0,-4
19,2022,528,NLD,1190,nl,1,75,3,1190,1,2,6,3,1,1,2,2,2,528001
20,2022,203,CZE,1040,cs,2,77,3,1040,5,2,2,1,7,-1,5,1,0,203003
21,2018,50,BGD,490,bn,2,29,1,490,1,1,2,1,0,-3,4,2,5,50006
22,2022,826,GBR,1240,en,1,47,2,1240,6,-4,5,3,3,2,-4,2,0,826100
23,2019,788,TUN,170,ar,2,53,3,4360,1,3,-5,-5,8,2,3,1,5,788005
24,2020,124,CAN,1240,en,2,41,2,1400,1,2,3,2,2,1,2,2,0,124001
